,,,,,,,,,,,,,,,,,,,,,,,,,,Vcr using FEA,,,,,,,,,,,,,,Vcr using Formula,,,,,,,,,WITH TENSION  ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vcr using FEA,,,Vcr using Formula,,,,Vcr using FEA,,,,Vcr using Formula,,,,,,,,,,,,,,,,,,,,,,
S.NO,SECTON,WEB OPENNG,Depth of Web opening(dwh/d1),dwh/2,d1,tw,tw(mm),rcl(mm),lip length (mm),"d1,d2(mm)",flange width(mm),"b1,b2(mm)",ri(mm),ro(mm),total depth D (mm),total length(mm)with aspect ratio-1,fyw,E,m,a/d,Vu FEM,Linear Buckling load(kN),dwh,dwh/d1,d1/tw,Aw,Vcr FEA,Vy,λv,Vv,c,c/tw,qs,Vnl(AS)FEA,Vnl FEA/Vnl(AS),Kss,Ksf,Kv,Vcr,vy,λv,Vv,c,c/tw,qsAS/NS,VnlWITHOUT TENSION FIELD,VnlFEA/V AS/NS,Vv,Vnl AS/NS,VnlF/Vnl AS/NS,Vv,VnlAS/NS EITH TENSION FEIEL,VnlF/Vnl AS/NS,Vcr(FEA),Vy,vv,qseq,Vcr(eq),Vy,Vv,qs,VNL,qsFEA=Vfea/Vv,VcrFEA/Vcr eq,qsfea/qs eq,qs pro,qsfea/qs pro,vnl pro,vnlFEA/vnl Pro,DSM pro,qs pro,Vnl Pro,vnlFEA/vnl Pro,qs fea/qs pro,Design Shear Resistance (VRd),Vcr,VU(FEA),Vnl DSM,VnlFEA/V AS/NS,Vnl with tension field,VnlFEA/V AS/NS,VN PRO
,,0.6,85.2,42.6,142,2,2,3,18,14,60,52,2,4,150,469,349.1066271,210000,0.3,1,25.36,143.66,85.2,0.6,71.00,284,71.83,59.49,0.91,53.28,40.89,20.45,0.38,20.17,1.26,9.34,12.6,10.09,107.77,59.49,0.74,59.49,40.89,20.45,0.38,22.52,1.13,59.49,22.52,1.13,61.10,23.13,1.10,71.83,59.49,53.77,0.43,107.77,59.49,61.10,0.43,25.99,0.42,0.67,0.98,0.46,0.91,27.98,0.91,59.28,0.46,27.15,0.93,0.91,52.03982894,107.7719441,25.3629,22.52492977,1.125992412,23.13375496,1.096358981,27.15125769
,,0.8,113.6,56.8,142,2,2,3,18,14,60,52,2,4,150,469,349.1066271,210000,0.3,1,14.04,107.15,113.6,0.8,71.00,284,53.57,59.49,1.05,46.01,30.86,15.43,0.29,13.15,1.07,9.34,12.6,10.09,107.77,59.49,0.74,59.49,30.86,15.43,0.29,17.00,0.83,59.49,17.00,0.83,61.10,17.46,0.80,53.57,59.49,48.84,0.16,107.77,59.49,61.10,0.16,9.91,0.23,0.50,1.42,0.23,1.00,13.99,1.00,57.30,0.23,13.12,1.07,1.00,52.03982894,107.7719441,14.0419,16.99733965,0.826123399,17.45675987,0.804381804,13.12184073
3,150x60x18x2.5,0,0,0,140,2.5,2.5,3.75,18,13,60,50,2.5,5,150,465,349.1066271,210000,0.3,1,73.43,937.09,0,0,56.00,350,468.54,73.31,0.40,73.31,70.00,28.00,0.52,38.01,1.93,9.34,12.6,10.09,213.50,73.31,0.59,73.31,70.00,28.00,0.52,38.01,1.93,73.31,38.01,1.93,86.56,44.89,1.64,468.54,73.31,105.46,Not Applicable,213.50,73.31,86.56,Not Applicable,86.56,0.85,2.19,#VALUE!,Not Applicable,#VALUE!,#VALUE!,#VALUE!,73.31,Not Applicable,#VALUE!,#VALUE!,#VALUE!,64.133592,213.499108,73.4316,38.01383273,1.931707348,44.88535373,1.635981314,73.31239169
,,0.2,28,14,140,2.5,2.5,3.75,18,13,60,50,2.5,5,150,465,349.1066271,210000,0.3,1,67.10,814.83,28,0.2,56.00,350,407.41,73.31,0.42,73.31,60.11,24.04,0.45,32.64,2.06,9.34,12.6,10.09,213.50,73.31,0.59,73.31,60.11,24.04,0.45,32.64,2.06,73.31,32.64,2.06,86.56,38.54,1.74,407.41,73.31,102.22,0.88,213.50,73.31,86.56,0.88,76.18,0.78,1.91,0.88,0.90,0.86,77.91,0.86,73.31,0.90,65.98,1.02,0.86,64.133592,213.499108,67.1021,32.64085284,2.055770428,38.54113413,1.741051516,65.98115252
,,0.4,56,28,140,2.5,2.5,3.75,18,13,60,50,2.5,5,150,465,349.1066271,210000,0.3,1,52.08,396.33,56,0.4,56.00,350,198.17,73.31,0.61,73.31,50.21,20.08,0.37,27.27,1.91,9.34,12.6,10.09,213.50,73.31,0.59,73.31,50.21,20.08,0.37,27.27,1.91,73.31,27.27,1.91,86.56,32.20,1.62,198.17,73.31,84.76,0.69,213.50,73.31,86.56,0.69,59.61,0.60,0.93,0.87,0.69,0.88,59.47,0.88,73.31,0.69,50.37,1.03,0.88,64.133592,213.499108,52.0846,27.26787295,1.910108651,32.19691452,1.617689172,50.36561309
,,0.6,84,42,140,2.5,2.5,3.75,18,13,60,50,2.5,5,150,465,349.1066271,210000,0.3,1,34.31,281.60,84,0.6,56.00,350,140.80,73.31,0.72,73.31,40.32,16.13,0.30,21.89,1.57,9.34,12.6,10.09,213.50,73.31,0.59,73.31,40.32,16.13,0.30,21.89,1.57,73.31,21.89,1.57,86.56,25.85,1.33,140.80,73.31,76.64,0.43,213.50,73.31,86.56,0.43,36.82,0.40,0.66,0.93,0.46,0.87,39.65,0.87,73.31,0.46,33.58,1.02,0.87,64.133592,213.499108,34.3107,21.89489306,1.56706406,25.85269491,1.327161448,33.57707539
,,0.8,112,56,140,2.5,2.5,3.75,18,13,60,50,2.5,5,150,465,349.1066271,210000,0.3,1,20.27,211.31,112,0.8,56.00,350,105.66,73.31,0.83,71.73,30.42,12.17,0.23,16.17,1.25,9.34,12.6,10.09,213.50,73.31,0.59,73.31,30.42,12.17,0.23,16.52,1.23,73.31,16.52,1.23,86.56,19.51,1.04,105.66,73.31,70.12,0.16,213.50,73.31,86.56,0.16,14.04,0.23,0.49,1.44,0.23,1.02,19.82,1.02,73.31,0.23,16.79,1.21,1.02,64.133592,213.499108,20.2668,16.52191316,1.226661816,19.5084753,1.038871551,16.7885377
4,150x60x18x3,0,0,0,138,3,3,4.5,18,12,60,48,3,6,150,461,349.1066271,210000,0.3,1,91.0272,161.77,0,0,46.00,414,80.89,86.72,1.04,68.26,69.00,23.00,0.43,29.07,3.13,9.34,12.6,10.09,374.27,86.72,0.48,86.72,69.00,23.00,0.43,36.94,2.46,86.72,36.94,2.46,113.74,48.45,1.88,80.89,86.72,72.03,Not Applicable,374.27,86.72,113.74,Not Applicable,113.74,0.80,0.22,#VALUE!,Not Applicable,#VALUE!,#VALUE!,#VALUE!,86.72,Not Applicable,#VALUE!,#VALUE!,#VALUE!,75.8608774,374.2732189,91.0272,36.93548115,2.464492059,48.44581944,1.878948505,86.71808617
,,0.2,27.6,13.8,138,3,3,4.5,18,12,60,48,3,6,150,461,349.1066271,210000,0.3,1,83.467,1415.82,27.6,0.2,46.00,414,707.91,86.72,0.35,86.72,59.25,19.75,0.37,31.71,2.63,9.34,12.6,10.09,374.27,86.72,0.48,86.72,59.25,19.75,0.37,31.71,2.63,86.72,31.71,2.63,113.74,41.60,2.01,707.91,86.72,131.07,0.88,374.27,86.72,113.74,0.88,100.09,0.73,1.89,0.83,0.90,0.82,102.37,0.82,86.72,0.90,78.05,1.07,0.82,75.8608774,374.2732189,83.467,31.71491844,2.631789836,41.59835379,2.006497671,78.04627755
,,0.4,55.2,27.6,138,3,3,4.5,18,12,60,48,3,6,150,461,349.1066271,210000,0.3,1,66.5666,686.96,55.2,0.4,46.00,414,343.48,86.72,0.50,86.72,49.49,16.50,0.31,26.49,2.51,9.34,12.6,10.09,374.27,86.72,0.48,86.72,49.49,16.50,0.31,26.49,2.51,86.72,26.49,2.51,113.74,34.75,1.92,343.48,86.72,111.27,0.69,374.27,86.72,113.74,0.69,78.32,0.59,0.92,0.85,0.69,0.85,78.14,0.85,86.72,0.69,59.58,1.12,0.85,75.8608774,374.2732189,66.5666,26.49435573,2.512482306,34.75088815,1.915536654,59.5753252
